model,dataset,fraction,n_seeds,auroc_mean,auroc_ci_low,auroc_ci_high,auroc_ci_width,ece_mean,ece_ci_low,ece_ci_high,ece_ci_width,brier_mean,brier_ci_low,brier_ci_high,brier_ci_width,f1_mean,f1_ci_low,f1_ci_high,f1_ci_width
CONCH,PCam,0.25,3,0.9628551869835859,0.9626578024410916,0.9631792761228404,0.0005214736817488186,0.03394442570947747,0.0326646339457188,0.0346337148364188,0.001969080890699998,0.0759435726534769,0.0753894182441902,0.0763249611729701,0.0009355429287798978,0.8908768726956248,0.8896012309270419,0.8925329241784938,0.002931693251451928
CONCH,PCam,0.5,3,0.9647091873142255,0.9643738502797436,0.9648972313104732,0.000523381030729575,0.03491870538205754,0.0345764949191472,0.0351968394859879,0.0006203445668407012,0.07431571564428942,0.0740701733449476,0.0745233984394233,0.0004532250944756927,0.8924782452527599,0.8920549351816197,0.8929132343985384,0.000858299216918712
CONCH,PCam,1.0,3,0.9657347251512167,0.9657307949692345,0.9657399368332956,9.141864061090743e-06,0.03810250608683203,0.0380954274516518,0.0381078371618146,1.2409710162801513e-05,0.07351179534229184,0.0735045515567103,0.0735172799107778,1.2728354067501058e-05,0.8933286223621236,0.8933286223621236,0.8933286223621236,0.0
CONCH,SPIDER-Breast,0.01,3,0.9686946707525999,0.9680832224126544,0.9696770791517487,0.0015938567390942904,0.30678602032173,0.2918061831233645,0.3211431819390565,0.029336998815692017,0.0310101747025041,0.030041246024385,0.0319398274435708,0.0018985814191858005,0.6027719095000138,0.5872900029968143,0.6105738617046588,0.02328385870784444
CONCH,SPIDER-Breast,0.05,3,0.9786238878302208,0.9784036488606568,0.9790121736553216,0.0006085247946647776,0.184482178930184,0.17930259477756602,0.18837634046719667,0.009073745689630652,0.02095228802632727,0.0207455448722594,0.021079962023694204,0.00033441715143480225,0.712682136588329,0.7100214308893644,0.7150202425373146,0.00499881164795013
CONCH,SPIDER-Breast,0.1,3,0.9817240033097008,0.9816172976422642,0.9818559656736466,0.00023866803138239412,0.13776778488785904,0.1352327509247966,0.1419283217043787,0.006695570779582077,0.01850899166801907,0.018330817972057,0.0187252772081625,0.0003944592361054995,0.7362999993740512,0.7294018774419309,0.7422668824411258,0.012865004999194962
CONCH,SPIDER-Breast,0.25,3,0.9848903041541176,0.9847756982626331,0.9851187178538834,0.00034301959125027093,0.09093235041633903,0.0880616046139087,0.09304236417616958,0.004980759562260878,0.016244058797977464,0.0160426677577936,0.0163826488497437,0.00033998109195009993,0.7585797888338761,0.754093256812639,0.7625757218754728,0.0084824650628339
CONCH,SPIDER-Breast,0.5,3,0.9868259652619621,0.9867524833209628,0.9868883227449042,0.00013583942394146398,0.06593301838262873,0.0650464422337056,0.0667891015661491,0.001742659332443497,0.0149756608274034,0.0149052867212223,0.0150183410980797,0.00011305437685739904,0.7717374508443869,0.7707472405609957,0.7728651173360261,0.0021178767750303917
CONCH,SPIDER-Breast,1.0,3,0.9883801615527487,0.9883801326713376,0.9883802052801963,7.260885870330469e-08,0.04580483432303867,0.0458046522364595,0.0458050070499541,3.548134945990933e-07,0.013898716508673333,0.0138987007337561,0.0138987336368095,3.2903053399924165e-08,0.7828783075707056,0.7828783075707056,0.7828783075707056,0.0
GigaPath,BRACS,0.01,3,0.7360244907734259,0.7244782759358781,0.7542515607975714,0.029773284861693283,0.0800929291580152,0.0355608049312033,0.12448887041826921,0.08892806548706592,0.11763523894781114,0.1166886861232699,0.11895185543360702,0.0022631693103371264,0.2064374283664083,0.1760237070761971,0.2485954835108494,0.07257177643465229
