design,model,pair,ece_lo,ece_hi,ece_delta,ece_slope,rises,auroc_lo,auroc_hi,auroc_mean,auroc_dist,degeneracy,degenerate_share
covariate,GigaPath,h1->h0,0.27513841848045345,0.0540369708391635,-0.22110144764128994,-0.11055602042528394,False,0.9957189629629629,0.997253777777778,0.9966117037037038,0.4966117037037038,0.5204074074074074,0.0
covariate,GigaPath,h1->h2,0.32009105606763083,0.146551283039338,-0.17353977302829282,-0.0889072421887383,False,0.9889622222222222,0.9922542222222224,0.9902850617283949,0.4902850617283949,0.5716111111111112,0.0
covariate,GigaPath,h1->h3,0.2445359955824761,0.0504755930225837,-0.1940604025598924,-0.09636354884546139,False,0.9963014814814816,0.9969199999999999,0.9969344197530865,0.4969344197530865,0.5218888888888888,0.0
covariate,GigaPath,h1->h4,0.3426627811342158,0.349771373027619,0.007108591893403238,0.002355245226106248,True,0.9816146666666666,0.9722075555555554,0.9763123703703703,0.47631237037037033,0.8971481481481481,0.0
covariate,GigaPath,h2->h0,0.2644339684070604,0.04561642785545359,-0.21881754055160682,-0.10869842966299274,False,0.9950887407407407,0.9972102222222222,0.9962725432098765,0.49627254320987646,0.5057592592592592,0.0
covariate,GigaPath,h2->h1,0.3052848723177949,0.1018380325483663,-0.20344683976942857,-0.10138825000348292,False,0.9851155555555554,0.9874306666666666,0.9873708888888887,0.4873708888888887,0.6009444444444445,0.0
covariate,GigaPath,h2->h3,0.28802636201831394,0.0694119425776215,-0.21861441944069243,-0.10911718543203995,False,0.993332,0.9900235555555555,0.9915313333333332,0.4915313333333332,0.5313518518518519,0.0
covariate,GigaPath,h2->h4,0.33983807939718935,0.1888401641013342,-0.15099791529585516,-0.07514766001114043,False,0.9904487407407409,0.9952751111111112,0.9938297777777777,0.4938297777777777,0.6560185185185186,0.0
covariate,GigaPath,h3->h0,0.26578817521279535,0.0550202426614668,-0.21076793255132856,-0.10545916832069478,False,0.9936997037037036,0.9953288888888888,0.9949516049382715,0.4949516049382715,0.5243333333333333,0.0
covariate,GigaPath,h3->h1,0.26361606794346215,0.0479737296298078,-0.21564233831365434,-0.10784012990692257,False,0.9933583703703704,0.9962991111111114,0.9951307407407407,0.4951307407407407,0.5346481481481481,0.0
covariate,GigaPath,h3->h2,0.3060159051591395,0.1807814491538905,-0.12523445600524902,-0.0642268715453827,False,0.9857245925925926,0.9886555555555555,0.9883644444444445,0.4883644444444445,0.6162407407407406,0.0
covariate,GigaPath,h3->h4,0.37431135540836064,0.34558695103095544,-0.0287244043774052,-0.01422313748583424,False,0.9902666666666665,0.9905528888888888,0.9911586913580247,0.4911586913580247,0.9437407407407409,0.0
covariate,GigaPath,h4->h0,0.3323360870202025,0.1223731571368879,-0.2099629298833146,-0.1060419394099546,False,0.9885580740740739,0.9960008888888888,0.9934285925925926,0.49342859259259264,0.5512222222222223,0.0
covariate,GigaPath,h4->h1,0.29945745505584825,0.1695440058817034,-0.12991344917414485,-0.06742281922238129,False,0.9586536296296296,0.9799813333333334,0.975062962962963,0.475062962962963,0.715462962962963,0.0
covariate,GigaPath,h4->h2,0.3488191826330178,0.1452006461575075,-0.20361853647551031,-0.1019463200149963,False,0.9927767407407408,0.996048,0.995304913580247,0.495304913580247,0.5796296296296296,0.0
covariate,GigaPath,h4->h3,0.3433668250641552,0.1451558952735725,-0.19821092979058272,-0.10001417580908196,False,0.9828653333333334,0.9898653333333337,0.9877927654320988,0.4877927654320988,0.5970740740740741,0.0
covariate,H-Optimus-0,h0->h1,0.30270731470900664,0.094479125533114,-0.20822818917589264,-0.10476687939970235,False,0.9906328888888889,0.9914551111111112,0.992211012345679,0.492211012345679,0.5878518518518518,0.0
covariate,H-Optimus-0,h0->h2,0.3105469213613013,0.1024895929505063,-0.208057328410795,-0.10290524314145115,False,0.9902118518518518,0.9957697777777778,0.9942530123456791,0.4942530123456791,0.5587962962962963,0.0
covariate,H-Optimus-0,h0->h3,0.264504608452903,0.059330465435398695,-0.20517414301750433,-0.10265528149286277,False,0.9959614814814813,0.996894222222222,0.9971478765432099,0.4971478765432099,0.5465740740740741,0.0
covariate,H-Optimus-0,h0->h4,0.34138339516248245,0.1818821518957275,-0.15950124326675494,-0.08049696487102902,False,0.989489925925926,0.9924551111111112,0.991854024691358,0.49185402469135797,0.6612222222222222,0.0
covariate,H-Optimus-0,h1->h0,0.3127573094841258,0.0877755457671145,-0.22498176371701128,-0.11203928513868658,False,0.9956634074074074,0.9970524444444444,0.9965840987654321,0.4965840987654321,0.5120555555555556,0.0
covariate,H-Optimus-0,h1->h2,0.32008859073053175,0.12395823533833,-0.19613035539220175,-0.0985750542010694,False,0.9914148148148146,0.994368,0.9929839012345677,0.4929839012345677,0.543611111111111,0.0
covariate,H-Optimus-0,h1->h3,0.259620492619804,0.04916818703533019,-0.21045230558447384,-0.10438408402577569,False,0.9958970370370371,0.9966426666666668,0.9965139506172841,0.4965139506172841,0.5151111111111112,0.0
covariate,H-Optimus-0,h1->h4,0.32227398679752267,0.1977745490885042,-0.12449943770901847,-0.06404471708145726,False,0.9702534814814815,0.9800226666666666,0.9785814814814815,0.4785814814814815,0.6292407407407407,0.0
covariate,H-Optimus-0,h2->h0,0.3280774366295114,0.0952559181395714,-0.23282151848993998,-0.1169204193514157,False,0.9949573333333334,0.9980631111111112,0.9970142962962965,0.49701429629629645,0.5222962962962964,0.0
covariate,H-Optimus-0,h2->h1,0.30716362392803304,0.1532892602101187,-0.15387436371791433,-0.07841550666350974,False,0.988629037037037,0.9938622222222223,0.9929329382716049,0.4929329382716049,0.6550555555555556,0.0
covariate,H-Optimus-0,h2->h3,0.3011824517654688,0.08379709866270961,-0.2173853531027592,-0.10958518995453029,False,0.9928004444444444,0.9949266666666668,0.9946228888888888,0.49462288888888883,0.5609444444444444,0.0
covariate,H-Optimus-0,h2->h4,0.342259993670367,0.1338793761659143,-0.20838061750445272,-0.10663247771591529,False,0.9901906666666666,0.9950364444444443,0.9933524938271604,0.4933524938271604,0.5727592592592594,0.0
covariate,H-Optimus-0,h3->h0,0.2879944043779233,0.0855454920205294,-0.20244891235739387,-0.10078655744015388,False,0.9930257777777779,0.9961626666666666,0.9953332592592593,0.4953332592592593,0.5242592592592593,0.0
covariate,H-Optimus-0,h3->h1,0.28365191479818386,0.0814512289015187,-0.20220068589666518,-0.10181014458421589,False,0.994209037037037,0.9972186666666668,0.9962454074074075,0.4962454074074075,0.5663333333333332,0.0
covariate,H-Optimus-0,h3->h2,0.3161788751159755,0.22686739706203882,-0.08931147805393666,-0.04417699049550112,False,0.9847829629629629,0.9914435555555556,0.9897746172839507,0.48977461728395066,0.7417777777777778,0.0
covariate,H-Optimus-0,h3->h4,0.34800593121682594,0.243330181383846,-0.10467574983297995,-0.052757191486768266,False,0.9831882962962962,0.990140888888889,0.9879572839506173,0.4879572839506173,0.7493518518518518,0.0
covariate,H-Optimus-0,h4->h0,0.3516882677974385,0.2163250959239347,-0.1353631718735038,-0.06728483028130747,False,0.991094074074074,0.9965639999999999,0.9949994074074074,0.49499940740740744,0.6960925925925926,0.0
covariate,H-Optimus-0,h4->h1,0.29419934583210117,0.211884524662215,-0.08231482116988617,-0.04531754639489683,False,0.9494186666666667,0.9861435555555556,0.9796720740740742,0.4796720740740742,0.8423703703703702,0.0
covariate,H-Optimus-0,h4->h2,0.3461705531626527,0.1907915142298765,-0.15537903893277621,-0.0766011876191515,False,0.9916134814814814,0.9944106666666667,0.9944460246913581,0.4944460246913581,0.6968703703703703,0.0
covariate,H-Optimus-0,h4->h3,0.3436601717037844,0.1399118067288428,-0.2037483649749416,-0.100191098136671,False,0.9847942222222222,0.9922435555555555,0.9902682222222222,0.4902682222222222,0.6604444444444444,0.0
covariate,MIDNIGHT,h0->h1,0.2146650844395007,0.0814149729121818,-0.1332501115273189,-0.06860007371147572,False,0.9737844444444445,0.9946715555555556,0.9876379753086418,0.48763797530864184,0.6094444444444445,0.0
covariate,MIDNIGHT,h0->h2,0.2039569385655133,0.0671959467765143,-0.136760991788999,-0.06813606873128676,False,0.9588880000000001,0.9949728888888888,0.9835632839506173,0.4835632839506173,0.5866296296296296,0.0
covariate,MIDNIGHT,h0->h3,0.18476359655779398,0.0643588391849777,-0.12040475737281628,-0.05979281084925052,False,0.9907386666666665,0.9935364444444444,0.9930539012345679,0.49305390123456794,0.5644259259259259,0.0
covariate,MIDNIGHT,h0->h4,0.2507663105843068,0.1171997362328856,-0.13356657435142122,-0.06765567975950286,False,0.9836242962962962,0.9962915555555556,0.9922773580246913,0.4922773580246913,0.581425925925926,0.0
covariate,MIDNIGHT,h1->h0,0.22044275682191902,0.0322132998113333,-0.18822945701058572,-0.09299761668192016,False,0.9934970370370371,0.9973791111111113,0.996342049382716,0.496342049382716,0.5122037037037038,0.0
covariate,MIDNIGHT,h1->h2,0.21923495401912838,0.0672582991779003,-0.15197665484122808,-0.07498865415366361,False,0.972362074074074,0.9941204444444446,0.9870664938271604,0.4870664938271604,0.5606666666666666,0.0
covariate,MIDNIGHT,h1->h3,0.18380882081208946,0.0413001966398478,-0.14250862417224167,-0.06901310506540112,False,0.9935879999999999,0.9961951111111113,0.9953647654320988,0.49536476543209884,0.5291851851851852,0.0
covariate,MIDNIGHT,h1->h4,0.22262248425161313,0.1083988060616828,-0.11422367818993033,-0.054345415267968405,False,0.9835303703703703,0.9918604444444444,0.9886455555555557,0.48864555555555567,0.5806666666666668,0.0
covariate,MIDNIGHT,h2->h0,0.22940058669512517,0.0534463972393694,-0.17595418945575578,-0.08771829684544144,False,0.9920158518518519,0.9968453333333333,0.9946192839506173,0.4946192839506173,0.5127407407407407,0.0
covariate,MIDNIGHT,h2->h1,0.24430448385428435,0.0616811063043221,-0.18262337754996225,-0.09270716143097539,False,0.9798570370370371,0.987696888888889,0.9848149382716049,0.48481493827160493,0.5423703703703704,0.0
covariate,MIDNIGHT,h2->h3,0.19823248022354759,0.0381992254976366,-0.16003325472591098,-0.07939859885011882,False,0.9839185185185185,0.9863617777777774,0.9848984691358024,0.48489846913580237,0.5460555555555556,0.0
covariate,MIDNIGHT,h2->h4,0.25199561932421527,0.072311734088326,-0.17968388523588927,-0.08932235225607364,False,0.9820435555555557,0.9952960000000001,0.9901325925925925,0.49013259259259245,0.5294074074074074,0.0
covariate,MIDNIGHT,h3->h0,0.1774777183892319,0.030235759772061204,-0.1472419586171707,-0.07267665330501723,False,0.9865223703703703,0.9960902222222222,0.9936144691358025,0.49361446913580254,0.524388888888889,0.0
covariate,MIDNIGHT,h3->h1,0.14717250959694808,0.028468573488226196,-0.11870393610872189,-0.058644335257262974,False,0.9697693333333334,0.9919480000000002,0.984503950617284,0.484503950617284,0.5505185185185185,0.0
covariate,MIDNIGHT,h3->h2,0.18074526498027976,0.0558178981728607,-0.12492736680741906,-0.06421848974801611,False,0.9458342222222221,0.9884204444444444,0.9755721481481481,0.4755721481481481,0.5598148148148147,0.0
covariate,MIDNIGHT,h3->h4,0.23168149020073092,0.0556910420213659,-0.17599044817936502,-0.08738829478429204,False,0.9810705185185187,0.9938564444444444,0.9899276543209877,0.4899276543209877,0.5275555555555557,0.0
covariate,MIDNIGHT,h4->h0,0.2092182024850128,0.0388430562486022,-0.1703751462364106,-0.08279643484289816,False,0.9915099259259259,0.9970075555555556,0.9951829135802468,0.4951829135802468,0.5367592592592594,0.0
covariate,MIDNIGHT,h4->h1,0.21496260115120117,0.0805425015039289,-0.13442009964727225,-0.06434365929320911,False,0.980783111111111,0.9889546666666668,0.9863834567901234,0.4863834567901234,0.6019814814814813,0.0
covariate,MIDNIGHT,h4->h2,0.23181709575669698,0.056572184326674,-0.175244911430023,-0.083881867803674,False,0.9748014814814816,0.9956404444444443,0.9882206666666667,0.48822066666666675,0.5872407407407407,0.0
covariate,MIDNIGHT,h4->h3,0.21290764670015797,0.0450495075288766,-0.16785813917128137,-0.08070305227807863,False,0.9924592592592593,0.9902404444444445,0.9923374814814815,0.4923374814814815,0.551,0.0
