model,dataset,fraction,seed,budget,n_train,n_val,n_labels_total,n_classes,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,forced_val_classes,degenerate
MIDNIGHT,PCam,1.0,42,proportional,262144,32768,294912,2,0.9534379270615372,0.9061140930655364,0.0740490950636321,0.0558004007295935,0.0563320528116343,2.379907452568899,0.0508878762673128,0.0510326205661998,0.568328857421875,0,0,False
MIDNIGHT,PCam,1.0,123,proportional,262144,32768,294912,2,0.9534379270615372,0.9061140930655364,0.0740490950636321,0.0558004007295935,0.0563320528116343,2.379907452568899,0.0508878762673128,0.0510326205661998,0.568328857421875,0,0,False
MIDNIGHT,PCam,1.0,456,proportional,262144,32768,294912,2,0.9534379270615372,0.9061140930655364,0.0740490950636321,0.0558004007295935,0.0563320528116343,2.379907452568899,0.0508878762673128,0.0510326205661998,0.568328857421875,0,0,False
MIDNIGHT,SPIDER-Breast,0.01,42,proportional,682,113,795,18,0.9476432881293396,0.5747792068223535,,0.298254264261099,0.2982542642610989,0.4486830924003405,0.0331633981352594,0.0338450909407266,0.0980555093900615,0,0,False
MIDNIGHT,SPIDER-Breast,0.01,123,proportional,682,113,795,18,0.951591520806058,0.5926778547029717,,0.3164648299656529,0.3164648299656529,0.3675733017433717,0.0417465379944777,0.0405444143304808,0.1026258933023101,0,0,False
MIDNIGHT,SPIDER-Breast,0.01,456,proportional,682,113,795,18,0.9510832456936053,0.5865672168984726,,0.314237587241478,0.3142375872414781,0.3570647819453056,0.0532257534902623,0.0525506165633745,0.0952301811533987,0,0,False
MIDNIGHT,SPIDER-Breast,0.05,42,proportional,3431,600,4031,18,0.9745729561145524,0.6951342089124959,,0.1918495734334763,0.1918495734334763,0.4874577092149613,0.034661110339301,0.0356809256288805,0.1078610603290676,0,0,False
MIDNIGHT,SPIDER-Breast,0.05,123,proportional,3431,600,4031,18,0.9737033873530349,0.6955090172874319,,0.1970106704912611,0.1970106704912611,0.4941737890631098,0.0268747016786221,0.027559601346274,0.1100216054512215,0,0,False
MIDNIGHT,SPIDER-Breast,0.05,456,proportional,3431,600,4031,18,0.9731568877282162,0.6913873592146798,,0.1914549968771081,0.1913341865645788,0.4860041689622024,0.0368042734568287,0.0374355738239408,0.1112680737909257,0,0,False
MIDNIGHT,SPIDER-Breast,0.1,42,proportional,6868,1203,8071,18,0.980016708382074,0.73010634073827,,0.1502438776095634,0.1502438776095634,0.5295139712331518,0.0295877697232089,0.0299276277737778,0.1161708492604287,0,0,False
