model,dataset,fraction,C,auroc,ece
CONCH,MHIST,0.1,0.01,0.7326190047421816,0.0851440457300574
CONCH,MHIST,0.1,0.1,0.7411804430037817,0.14915812765047692
CONCH,MHIST,0.1,1.0,0.7870760549852932,0.13547337842117302
CONCH,MHIST,0.1,10.0,0.8341256978209977,0.07272463217071057
CONCH,MHIST,0.1,100.0,0.8374812413710306,0.07073948525327926
CONCH,MHIST,1.0,0.01,0.73501710786962,0.14694932497545796
CONCH,MHIST,1.0,0.1,0.7961192148388259,0.13300018459817656
CONCH,MHIST,1.0,1.0,0.8509814514676751,0.09174233457362396
CONCH,MHIST,1.0,10.0,0.8671258779038359,0.046249634971464955
CONCH,MHIST,1.0,100.0,0.8765532144786602,0.048159583496107126
CONCH,LungHist700,0.01,0.01,0.8686168525379188,0.3552114869122045
CONCH,LungHist700,0.01,0.1,0.8687728214734749,0.3806287342552019
CONCH,LungHist700,0.01,1.0,0.872882254934691,0.331475581847354
CONCH,LungHist700,0.01,10.0,0.878334244179026,0.18542465264687247
CONCH,LungHist700,0.01,100.0,0.8726438012541631,0.1350189238847607
CONCH,LungHist700,0.1,0.01,0.921817596044904,0.03167643216932547
CONCH,LungHist700,0.1,0.1,0.9248096882113636,0.2740739104136511
CONCH,LungHist700,0.1,1.0,0.9323496096378455,0.2779064631937607
CONCH,LungHist700,0.1,10.0,0.9335748180706457,0.15168277843789343
CONCH,LungHist700,0.1,100.0,0.9256115488693227,0.12400716423145171
CONCH,LungHist700,1.0,0.01,0.943559688352123,0.27230608920134725
CONCH,LungHist700,1.0,0.1,0.953924841442985,0.33773296886533277
CONCH,LungHist700,1.0,1.0,0.971386775329594,0.20836451760473426
CONCH,LungHist700,1.0,10.0,0.9851381248211023,0.11241486625682934
CONCH,LungHist700,1.0,100.0,0.9899936149612528,0.051689133652449926
CONCH,BRACS,0.01,0.01,0.8080837503541165,0.07367343462127728
CONCH,BRACS,0.01,0.1,0.811090888325703,0.023940042555455312
CONCH,BRACS,0.01,1.0,0.8228733676688282,0.1616462960680474
CONCH,BRACS,0.01,10.0,0.826316950264502,0.0670928192969269
CONCH,BRACS,0.01,100.0,0.8216063578752819,0.18947665795617344
CONCH,BRACS,0.1,0.01,0.8501340275836465,0.12170631020824335
CONCH,BRACS,0.1,0.1,0.8669486646734234,0.19113716451190008
CONCH,BRACS,0.1,1.0,0.8854227171060987,0.11023268188153751
CONCH,BRACS,0.1,10.0,0.890485628518828,0.044708682244639864
CONCH,BRACS,0.1,100.0,0.8834946774280664,0.1829835523587092
CONCH,BRACS,1.0,0.01,0.8738408812105064,0.1954382469654213
CONCH,BRACS,1.0,0.1,0.8948969412572509,0.10857142934978176
