model,dataset,fraction,seed,n_train,n_classes,auroc,f1_macro,f1_binary,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate,forced_classes
UNI,BRACS,0.01,123,33,7,0.798193718721001,0.2311481232335179,,,0.073104100837319,0.0774445333366052,0.8573732269672636,0.0506150499190198,0.0622497310174719,0.4333333333333333,False,0
UNI,BRACS,0.01,456,33,7,0.7973917342099677,0.298250655957761,,,0.119007219489133,0.1277815458632016,0.7950330601108234,0.0823570772118225,0.0969206506076138,0.4701754385964912,False,0
UNI,BRACS,0.05,42,180,7,0.8467684605019842,0.3981764809602642,,,0.106960886749448,0.1279649674451996,0.5656810287925809,0.0652080314093615,0.0782365278272544,0.2807017543859649,False,0
UNI,BRACS,0.05,123,180,7,0.8509568894097098,0.4647841142259024,,,0.1446087057359192,0.1446087057359192,0.6005636723810589,0.0407269492714073,0.0371077648936549,0.2473684210526315,False,0
UNI,BRACS,0.05,456,180,7,0.8644363842745137,0.4499010428518847,,,0.148640092437787,0.148640092437787,0.5760600944584221,0.0502135324517837,0.077450030955943,0.2736842105263158,False,0
UNI,BRACS,0.1,42,362,7,0.8621632858019276,0.5304707690464352,,,0.1499082805496201,0.1524937636879622,0.6179757623877635,0.0551698033493846,0.0631609342375779,0.2245614035087719,False,0
UNI,BRACS,0.1,123,362,7,0.867760997100987,0.5434990633163738,,,0.1488194938314956,0.1488194938314956,0.6321775593837243,0.0400423947801014,0.0596914629922417,0.2508771929824561,False,0
UNI,BRACS,0.1,456,362,7,0.8741864281316155,0.4972872253009215,,,0.1260717065794288,0.1376001939491246,0.6070721386299659,0.0504938200131415,0.0697963918205555,0.2596491228070175,False,0
UNI,BRACS,0.25,42,912,7,0.8805822739197661,0.5652032194600501,,,0.0887320120028881,0.0995295154343443,0.7203011227856183,0.0478989514594947,0.0573862752545722,0.2052631578947368,False,0
UNI,BRACS,0.25,123,912,7,0.8891427801854588,0.554643198458187,,,0.0981619036487651,0.1006899286020785,0.6835194133509435,0.065109392835704,0.0910813827623429,0.2245614035087719,False,0
UNI,BRACS,0.25,456,912,7,0.8848335943313625,0.5703106644277653,,,0.1042692867882899,0.1037488974260885,0.687512331113393,0.0586972486750187,0.0578935689698571,0.219298245614035,False,0
UNI,BRACS,0.5,42,1826,7,0.8918930092799499,0.5879238525540881,,,0.0578767816383572,0.0625697522786344,0.7604045646608687,0.0591326168852393,0.0644270212608155,0.1842105263157894,False,0
UNI,BRACS,0.5,123,1826,7,0.8980345873560882,0.5850277987410403,,,0.0641218765025448,0.0708448363538918,0.7542077869800631,0.0435095187849693,0.0501947385571208,0.2,False,0
UNI,BRACS,0.5,456,1826,7,0.8955591372312872,0.5800883550111766,,,0.0544676937278731,0.0686166736557274,0.7451731845378594,0.0548715633562759,0.062717105589947,0.2070175438596491,False,0
UNI,BRACS,1.0,42,3657,7,0.9012589709524764,0.5961587890370639,,,0.0488810091179866,0.09741732804525,0.8120119086392641,0.0811772922856012,0.0856516940516439,0.1859649122807017,False,0
UNI,BRACS,1.0,123,3657,7,0.9012589709524764,0.5961587890370639,,,0.0488810091179866,0.09741732804525,0.8120119086392641,0.0811772922856012,0.0856516940516439,0.1859649122807017,False,0
UNI,BRACS,1.0,456,3657,7,0.9012589709524764,0.5961587890370639,,,0.0488810091179866,0.09741732804525,0.8120119086392641,0.0811772922856012,0.0856516940516439,0.1859649122807017,False,0
