probe,model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.05,42,181,0.3022518824738197,0.459066713905968,0.2349786960880322,0.3298512139002482,0.3298512293974558,0.6921224643136055,0.3184055454134941,0.3174410933335622,0.8969333333333334,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.05,123,181,0.292325834299079,0.4151992535360436,0.2380904722297628,0.3321733757932981,0.3320845061620076,0.7043959613063633,0.3236704960485299,0.3213584059556325,0.8087333333333333,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.05,456,181,0.1657606655992841,0.4580533275525688,0.2195528218113439,0.3104668929080168,0.316166223971049,0.7367052696187852,0.2959743041088183,0.3052549837907155,0.9870666666666666,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.1,42,364,0.3335397772807562,0.4545450211123051,0.2355358341469093,0.3305177819351355,0.3305098666826884,0.7362433965215373,0.3218893895546595,0.3207799389044444,0.87,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.1,123,364,0.3009631852315687,0.426471030397787,0.2350800015732037,0.3278148133377234,0.3270831777731577,0.7556718108385904,0.319826366096735,0.3172412469069163,0.8258666666666666,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.1,456,364,0.2685374422597045,0.4568562841727921,0.2168629301009997,0.2980561692118644,0.2982651061693827,0.6719154223938093,0.2766222792436679,0.276733271964391,0.983,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.25,42,913,0.7883117958429324,0.4257967104611383,0.3806566834802309,0.4750260796375573,0.4750260841429233,1.231990881271181,0.4633008270829916,0.4633008310278256,0.6708666666666666,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.25,123,913,0.6881046740725337,0.3856762232256087,0.4474651789125941,0.5286202077229818,0.5286202072183291,1.485806821929251,0.4975159207510451,0.4975159102757772,0.7157333333333333,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.25,456,913,0.4540385824626046,0.356563803076534,0.3435809430660931,0.4013186701628069,0.3984441156903903,1.3332228341194008,0.3881997358053922,0.3881997281392415,0.6126666666666667,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.5,42,1828,0.6992114667495339,0.4368495596601164,0.3362760925330282,0.4284227408329645,0.4284227573951085,1.0688553585916,0.4252658828119436,0.4252659086465835,0.6314,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.5,123,1828,0.7369352724570905,0.351116235770734,0.4855151056094165,0.5738347126096487,0.5738346858898798,1.1730675313762329,0.5594134759644668,0.5594134622891744,0.7684666666666666,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,0.5,456,1828,0.6047230473733276,0.4327392705439954,0.2958194316443208,0.3671390846073627,0.3666099184830984,1.1722137674349618,0.3644686064345141,0.3636231545686721,0.5608666666666666,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,1.0,42,3657,0.6286374998831759,0.4598080499586418,0.2957233258130248,0.3626027942890922,0.3622764839808146,1.0535915151309798,0.3618825846140583,0.36170185546875,0.5358,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,1.0,123,3657,0.6513808276225835,0.4364359184207391,0.3130285024146436,0.3996880930667122,0.3996880967497825,1.0980533106962411,0.3967630543271701,0.3967630668560664,0.5958666666666667,False
mlp,MIDNIGHT,BRACS,CRC,BRACS->CRC,1.0,456,3657,0.6061543795006472,0.4563759805360351,0.3164396975111362,0.3690624798965951,0.3688898444692294,1.171711012607327,0.3647743389392892,0.3641177639881769,0.5308666666666667,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.01,42,699,0.4210239651416122,0.4074844074844075,0.2856385534971314,0.2846972823665853,0.2774763750157466,0.940506338435213,0.2891089088561242,0.2830668904054746,0.9719298245614036,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.01,123,699,0.4002511498426531,0.4006309148264984,0.2841651886935343,0.260309960091846,0.2543557432100274,0.918742914607983,0.2653250176002059,0.2636445958835171,0.9526315789473684,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.01,456,699,0.4980634229000241,0.4132406871260374,0.2579475741114899,0.2079949212440273,0.2049277350600613,1.011998882613476,0.2064506074446335,0.2037207674529207,0.936842105263158,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.05,42,3499,0.5051289034132171,0.4418565162020659,0.2680573737154905,0.2484144007950498,0.2422151237219702,1.0104974739505586,0.2475169229206809,0.2412197354519249,0.9596491228070176,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.05,123,3499,0.4353667392883079,0.4337941628264209,0.2926563751003681,0.2661850816717273,0.2558905049788831,0.9727700991341006,0.2675940360939293,0.2580582952901941,0.9157894736842104,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.05,456,3499,0.4532195594287097,0.42183518468123,0.2753081531936272,0.2658521630523497,0.265138077896023,0.993211810588178,0.2663499102257846,0.2655456877517791,0.9929824561403509,True
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.1,42,6999,0.4356541999515855,0.4228275351591414,0.2878326142130151,0.2862146394882808,0.282402317088277,0.9564884438881652,0.2884356262619819,0.2847943048750606,0.9771929824561404,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.1,123,6999,0.4424019607843137,0.4103738732082163,0.2938880941616347,0.2733109078615119,0.2732824369329599,0.8941031366317481,0.289018002328904,0.2823017019211731,0.9298245614035088,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.1,456,6999,0.4273178407165335,0.4135802469135802,0.2862419001889596,0.2912271959788836,0.2809697759852401,0.9225184816032758,0.289013852818722,0.2815210819817271,0.9894736842105264,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.25,42,17499,0.5363864681675139,0.4400037205192449,0.2642658934397158,0.2525157419735925,0.2387481537817062,0.9473643987217912,0.2560249031913515,0.241786648218087,0.9701754385964912,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.25,123,17499,0.4804980634229,0.4495161027976577,0.2868704230859977,0.2629555126423376,0.2624948414065058,0.8938261100188664,0.2751698202600605,0.2722476871842477,0.912280701754386,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.25,456,17499,0.4583484628419269,0.41672021132291,0.2896606856824172,0.291283501208384,0.2902976504634257,0.877089794864186,0.2946025930083634,0.2923878791724347,0.9789473684210528,False
mlp,MIDNIGHT,CRC,BRACS,CRC->BRACS,0.5,42,35000,0.521635197288792,0.4211987125440793,0.2745590395884157,0.2671176531156035,0.2609245885879397,0.9128146814908378,0.2718556469379875,0.2631633797153961,0.9912280701754386,True
