model,dataset,fraction,auroc_old,ece_old,auroc_new,ece_new,d_auroc,d_ece
GigaPath,LungHist700,0.5,0.9456523765205028,0.30319880483481093,0.9374710036463222,0.3186337968312709,-0.008181372874180637,0.015434991996459979
GigaPath,LungHist700,1.0,0.96452289514029,0.31209289068839147,0.96452289514029,0.3120928906883917,0.0,2.220446049250313e-16
GigaPath,MHIST,0.01,0.6573338735818476,0.1671562241366007,0.6696305300438201,0.12025281782490443,0.012296656461972533,-0.04690340631169626
GigaPath,MHIST,0.05,0.8378549132600996,0.17747063403439797,0.7945359865538147,0.1423442552239066,-0.0433189267062849,-0.03512637881049138
GigaPath,MHIST,0.1,0.843563539228045,0.1548057134318103,0.8362776877363588,0.14860002438748945,-0.007285851491686146,-0.006205689044320839
GigaPath,MHIST,0.25,0.860198691398043,0.11817901770518158,0.8528438081517499,0.1179449163012447,-0.007354883246293076,-0.0002341014039368705
GigaPath,MHIST,0.5,0.8746833543429977,0.10407205277090216,0.8679572603397564,0.0976822603109712,-0.006726094003241312,-0.00638979245993096
GigaPath,MHIST,1.0,0.8868359445344859,0.0826854753853367,0.8868359445344859,0.0826854753853331,0.0,-3.608224830031759e-15
GigaPath,PCam,0.01,0.9820793486705228,0.07295321771448923,0.9815769149509649,0.07127125174862557,-0.0005024337195579376,-0.0016819659658636604
GigaPath,PCam,0.05,0.9828145013175056,0.03842978700501783,0.9842018605243087,0.03855595664018003,0.001387359206803107,0.00012616963516219604
GigaPath,PCam,0.1,0.9827219613643093,0.0314272206209818,0.9837883085222064,0.0323334232925287,0.0010663471578971073,0.0009062026715469032
GigaPath,PCam,0.25,0.981981927344381,0.0359821872578931,0.9828672638553974,0.03508488175587133,0.0008853365110164102,-0.0008973055020217724
GigaPath,PCam,0.5,0.9817590431851388,0.03709032908040833,0.981273523528387,0.03905180935766454,-0.0004855196567518094,0.0019614802772562057
GigaPath,PCam,1.0,0.9799245745550996,0.04172972250360069,0.9799245745550996,0.041729722503603205,0.0,2.5118795932144167e-15
GigaPath,SPIDER-Breast,0.01,0.9867169179380566,0.4202344123762171,0.9866319502197977,0.4219817516287485,-8.496771825894367e-05,0.001747339252531399
GigaPath,SPIDER-Breast,0.05,0.9928523400879774,0.2163889743265104,0.9926473867375661,0.21360157174506836,-0.00020495335041126328,-0.0027874025814420555
GigaPath,SPIDER-Breast,0.1,0.9936083435155242,0.14560984155485873,0.9936328976928032,0.14464500314258924,2.455417727897924e-05,-0.000964838412269492
GigaPath,SPIDER-Breast,0.25,0.9943848103738807,0.08291529837605989,0.9944494109858436,0.0813310397135969,6.460061196289502e-05,-0.0015842586624629923
GigaPath,SPIDER-Breast,0.5,0.9947299397318584,0.05014697254743137,0.9946296857928907,0.047965605791447465,-0.00010025393896773149,-0.0021813667559839045
GigaPath,SPIDER-Breast,1.0,0.9948217291381395,0.02535442604734463,0.9948218618972472,0.0254336506982645,1.3275910770715882e-07,7.922465091986935e-05
H-Optimus-0,BRACS,0.01,0.7207285445570522,0.07943350677041763,0.746102606055843,0.07371666982367286,0.025374061498790845,-0.005716836946744769
H-Optimus-0,BRACS,0.05,0.8270342340759141,0.1276076992010814,0.8284092519935039,0.09002252660475966,0.0013750179175897603,-0.03758517259632173
H-Optimus-0,BRACS,0.1,0.8562595524778431,0.10116882836456703,0.8520697230214633,0.10224462227181617,-0.004189829456379801,0.0010757939072491424
H-Optimus-0,BRACS,0.25,0.8773947797003719,0.09397960407801308,0.8749332893426653,0.08831951010145807,-0.002461490357706597,-0.0056600939765550085
H-Optimus-0,BRACS,0.5,0.8875011211919898,0.07598418519002546,0.8888329017825662,0.07183762660967626,0.0013317805905764812,-0.004146558580349208
H-Optimus-0,BRACS,1.0,0.8956033932491522,0.05696337787141823,0.8956033932491522,0.0569633778570384,0.0,-1.4379830659549953e-11
H-Optimus-0,CRC,0.01,0.9994428578949804,0.2302169930003448,0.9994320475219213,0.2293915037233112,-1.0810373059166878e-05,-0.0008254892770335753
H-Optimus-0,CRC,0.05,0.9996359778754691,0.0791826958185776,0.9996554818040555,0.08021026169337424,1.950392858640626e-05,0.001027565874796632
H-Optimus-0,CRC,0.1,0.9997273597867785,0.0484730869663228,0.9997250585229436,0.049518472231021765,-2.301263834936229e-06,0.001045385264698967
H-Optimus-0,CRC,0.25,0.9998758660172401,0.026647138978583066,0.9998582704471026,0.02626688253749243,-1.7595570137474148e-05,-0.0003802564410906352
