model,hospital,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,forced_classes,degenerate
CONCH,0,0.1,456,1400,3000,300,0.9958857777777778,0.9769957033085848,0.0222637101992034,0.0486714869417967,0.0409019474782845,1.2079909624105212,0.0104686519992306,0.0096532494800189,1.3609224524399854,0.0152691753367237,0.5136666666666667,0,False
CONCH,0,0.25,42,3500,3000,750,0.9964351111111112,0.9776639640063114,0.0184230934960155,0.0302117509402885,0.0238363807774767,1.417398776996885,0.0109870711271994,0.0090023146114778,1.2898640483017052,0.009723670874811,0.511,0,False
CONCH,0,0.25,123,3500,3000,750,0.9964,0.9773300688632496,0.0189920824169402,0.0279877587359355,0.023314179336018,1.4652092230447151,0.0112332714258029,0.0091253152293309,1.4166215418374983,0.008965192073713,0.512,0,False
CONCH,0,0.25,456,3500,3000,750,0.9960537777777778,0.9783300370911976,0.0190361701099003,0.030075916792514,0.0255908273411784,1.4523638520916662,0.0128816897790318,0.0116892491602065,1.443691927285278,0.0126726502662392,0.5123333333333333,0,False
CONCH,0,0.5,42,7000,3000,1500,0.996616,0.9786639261665164,0.0170559675113144,0.0216109523607591,0.0149189481815195,1.5801233241062496,0.0106076132764168,0.0079959703947172,1.4844722144046765,0.0085791568507413,0.5113333333333333,0,False
CONCH,0,0.5,123,7000,3000,1500,0.9965191111111112,0.9793303569047276,0.0171017341026405,0.0200038570584936,0.0146727325311355,1.617411738393191,0.0100756411998177,0.0086417239080475,1.628985449060188,0.0103392369629188,0.512,0,False
CONCH,0,0.5,456,7000,3000,1500,0.9965595555555556,0.9789968051806992,0.017196343479431,0.0209085049133123,0.0166149019690691,1.6132156204501482,0.011403911417301,0.0103485887904362,1.6766291639001043,0.0133818950742851,0.5123333333333333,0,False
CONCH,0,1.0,42,14000,3000,3000,0.9968244444444444,0.979664206035597,0.0160956362139821,0.0125039572109274,0.0097756735454612,1.7451961407368874,0.0098168945629879,0.0060219487540875,1.7451961407368874,0.0098168945629879,0.511,0,False
CONCH,0,1.0,123,14000,3000,3000,0.9968244444444444,0.979664206035597,0.0160956362139821,0.0125039572109274,0.0097756735454612,1.7451961407368874,0.0098168945629879,0.0060219487540875,1.7451961407368874,0.0098168945629879,0.511,0,False
CONCH,0,1.0,456,14000,3000,3000,0.9968244444444444,0.979664206035597,0.0160956362139821,0.0125039572109274,0.0097756735454612,1.7451961407368874,0.0098168945629879,0.0060219487540875,1.7451961407368874,0.0098168945629879,0.511,0,False
CONCH,1,0.01,42,140,3000,30,0.989852,0.9406155696634972,0.071901716127973,0.168632339719468,0.1684206760612544,0.5787370406774017,0.0274909641903653,0.0243057870275299,0.3395825532284888,0.0354772062047543,0.5293333333333333,0,False
CONCH,1,0.01,123,140,3000,30,0.989732,0.9442203796020274,0.0726918876081491,0.1785150634138032,0.1731947507832832,0.6006750444704917,0.0333983053226416,0.0360940824310259,0.3554852382200045,0.0399099322355095,0.545,0,False
CONCH,1,0.01,456,140,3000,30,0.9906133333333332,0.9462675110343504,0.0750309958010909,0.1821220420274909,0.1811465988027732,0.5216352769994458,0.0308106079658617,0.0280074545205157,0.1000052749944835,0.0446253532847467,0.535,0,False
CONCH,1,0.05,42,700,3000,150,0.9946506666666666,0.9623097769439232,0.0388325807592535,0.0935211793852701,0.0864856518128484,0.8521511102599855,0.0205034460306246,0.0215525365092488,0.4699910451466974,0.0249506765867417,0.525,0,False
CONCH,1,0.05,123,700,3000,150,0.993884,0.9606427199482708,0.0396392122509516,0.0880066849608832,0.0854399862438378,0.8883401596249024,0.0220932307253097,0.021141372374618,0.7556136213898587,0.0220644250687603,0.5246666666666666,0,False
CONCH,1,0.05,456,700,3000,150,0.9942151111111112,0.9646552149563126,0.039647539750808,0.0926154754313601,0.0870990466687935,0.808673915845331,0.0145421432026853,0.0145389193950169,0.7720891680151512,0.0157836483811429,0.518,0,False
CONCH,1,0.1,42,1400,3000,300,0.9950626666666668,0.9656542678573632,0.0320157113261245,0.0654067749388637,0.0587408200243534,0.995214086435054,0.0181515327367763,0.016324863225785,0.7186443100245965,0.0197871770896243,0.519,0,False
CONCH,1,0.1,123,1400,3000,300,0.994867111111111,0.962645150273224,0.0328094127671465,0.0665469522471649,0.060821369773011,1.0196663848559155,0.0192393448110342,0.0197477175839208,1.0515315342485136,0.0186474707039668,0.524,0,False
CONCH,1,0.1,456,1400,3000,300,0.995063111111111,0.9636584898268776,0.0326383535287582,0.0652695422330193,0.0618130788041654,0.9515906313762068,0.0144402342196842,0.0124297142269182,0.9220101390269156,0.0137508747711864,0.515,0,False
CONCH,1,0.25,42,3500,3000,750,0.995928,0.9699923180334166,0.0263040945646339,0.0437872386018525,0.0389286952591495,1.180612071748375,0.0143344382434786,0.0152513970291093,1.0448750077501183,0.0163498373210603,0.516,0,False
CONCH,1,0.25,123,3500,3000,750,0.9960271111111112,0.9683255590177632,0.0261407046727911,0.042108558380699,0.0361758677115131,1.1800695339067135,0.0141271595254709,0.0137034883546018,1.1014642432919926,0.0146571713552163,0.5156666666666667,0,False
CONCH,1,0.25,456,3500,3000,750,0.9959577777777776,0.9699929450079596,0.0260485382916693,0.0403933644029898,0.0353826733053882,1.158471521204345,0.0136034451587577,0.0114225735615556,1.3341510581247165,0.0127041832463784,0.5153333333333333,0,False
CONCH,1,0.5,42,7000,3000,1500,0.9965257777777778,0.9739933422956276,0.0227167067231946,0.0306964375689237,0.0260686271292519,1.2851360172807942,0.0114460447279298,0.0111362326249779,1.2585445984076271,0.0121549675833552,0.516,0,False
